rank,stadium,capacity,region,country,city,home_teams
68,Lincoln Financial Field,68532,North America,United States,Philadelphia,"Philadelphia Eagles, Temple Owls football"
69,Levi's Stadium,68500,North America,United States,"Santa Clara, California",San Francisco 49ers
70,Acrisure Stadium,68400,North America,United States,Pittsburgh,"Pittsburgh Steelers, Pittsburgh Panthers football"
71,Gazprom Arena,68134,Europe,Russia,Saint Petersburg,FC Zenit Saint Petersburg
72,Salt Lake Stadium,68000,South Asia,India,Kolkata,"India national football team, Mohun Bagan Super Giant, East Bengal FC, Mohammedan SC"
73,National Stadium,68000,East Asia,Japan,Tokyo,Unknown
74,TIAA Bank Field,67814,North America,United States,"Jacksonville, Florida",Jacksonville Jaguars
75,Orange Vélodrome,67394,Europe,France,Marseille,Olympique de Marseille
76,Puskás Aréna,67215,Europe,Hungary,Budapest,Hungary national football team
77,Scottish Gas Murrayfield Stadium,67144,Europe,Scotland,Edinburgh,Scotland national rugby union team
78,Stade Mohammed V,67000,Africa,Morocco,Casablanca,"Wydad, Raja, Morocco national team"
79,Lucas Oil Stadium,67000,North America,United States,"Indianapolis, Indiana",Indianapolis Colts
80,MorumBIS,66975,South America,Brazil,"São Paulo, São Paulo",São Paulo FC
81,The Dome,66965,North America,United States,St. Louis,St. Louis BattleHawks
82,Yadegar-e-Emam Stadium,66833,West Asia,Iran,Tabriz,Tractor Sazi FC
83,Seoul World Cup Stadium,66704,East Asia,South Korea,Seoul,FC Seoul
84,US Bank Stadium,66655,North America,United States,Minneapolis,Minnesota Vikings
85,Daegu Stadium,66422,East Asia,South Korea,Daegu,Daegu FC
86,Workers' Stadium,66161,East Asia,China,Beijing,"Beijing Guoan, China national football team"
87,London Stadium,66000,Europe,England,London,West Ham United
88,Raymond James Stadium,65847,North America,United States,"Tampa, Florida","Tampa Bay Buccaneers, South Florida Bulls football, Tampa Bay Vipers"
89,Hard Rock Stadium,65326,North America,United States,"Miami Gardens, Florida","Miami Dolphins, Miami Hurricanes football"
90,Olympic Stadium,65255,North America,Canada,"Montreal, Quebec",CF Montréal
91,Basra International Stadium,65227,West Asia,Iraq,Basra,Iraq national football team
92,Camping World Stadium,65000,North America,United States,"Orlando, Florida",Unknown
93,Alamodome,65000,North America,United States,San Antonio,UTSA Roadrunners football
94,Ford Field,65000,North America,United States,Detroit,Detroit Lions
95,Stade Ibn Battuta,65000,Africa,Morocco,Tangier,"IR Tanger, Morocco national team"
96,Estádio do Sport Lisboa e Benfica,64642,Europe,Portugal,Lisbon,Benfica
97,Stade du 5 Juillet,64200,Africa,Algeria,Algiers,Algeria national football team
98,Castelão,63903,South America,Brazil,"Fortaleza, Ceará","Ceará SC, Fortaleza EC"
99,Saitama Stadium 2002,63700,East Asia,Japan,Saitama,"Urawa Red Diamonds, Saitama Wild Knights"
100,Ellis Park Stadium,62567,Africa,South Africa,"Johannesburg, Gauteng","Orlando Pirates FC, Emirates Johannesburg Lions"
101,Tottenham Hotspur Stadium,62303,Europe,England,London,Tottenham Hotspur
102,VELTINS-Arena,62271,Europe,Germany,Gelsenkirchen,FC Schalke 04
103,Yizhong Sports Centre Stadium,62000,East Asia,China,"Qingdao, Shandong",Qingdao Jonoon FC
104,Estádio Governador Magalhães Pinto,61846,South America,Brazil,"Belo Horizonte, Minas Gerais","Atlético Mineiro, Cruzeiro EC"
105,King Fahd International Stadium,61781,West Asia,Saudi Arabia,Riyadh,"Saudi Arabia national football team, Al-Hilal, Al-Nassr, Al-Shabab"
106,Soldier Field,61500,North America,United States,Chicago,Chicago Bears
107,Nanjing Olympic Sports Centre Stadium,61443,East Asia,China,"Nanjing, Jiangsu",Unknown
108,Anfield,61276,Europe,England,"Liverpool, England",Liverpool FC
109,Estadio Benito Villamarín,60720,Europe,Spain,Seville,Real Betis
110,Abuja Stadium,60491,Africa,Nigeria,Abuja,Nigeria national football team
111,MHPArena,60469,Europe,Germany,Stuttgart,VfB Stuttgart
112,Celtic Park,60411,Europe,Scotland,Glasgow,Celtic FC
113,Estadio de la UNSA,60370,South America,Peru,Arequipa,FBC Melgar
114,Emirates Stadium,60338,Europe,England,London,Arsenal
115,Shenzhen Universiade Sports Centre Stadium,60334,East Asia,China,"Shenzhen, Guangdong",Unknown
116,Estadio Centenario,60235,South America,Uruguay,Montevideo,Uruguay national football team
117,Estádio José do Rego Maciel,60044,South America,Brazil,"Recife, Pernambuco",Santa Cruz FC
118,Stade Léopold Sédar Senghor,60000,Africa,Senegal,Dakar,"Senegal national football team, ASC Jeanne d'Arc"
119,Al-Bayt Stadium,60000,West Asia,Qatar,Al-Khor,Unknown
120,Benjamin Mkapa National Stadium,60000,Africa,Tanzania,Dar es-Salaam,"Tanzania national football team, Young Africans"
121,Hefei Olympic Sports Centre Stadium,60000,East Asia,China,"Hefei, Anhui",Anhui Jiufang
122,Jaber al-Ahmad International Stadium,60000,West Asia,Kuwait,Kuwait City,Kuwait national football team
123,Hammadi Agrebi Stadium,60000,Africa,Tunisia,Tunis,Tunisia national football team
124,Jawaharlal Nehru Stadium,60000,South Asia,India,New Delhi,Unknown
125,Mogadishu Stadium,60000,Africa,Somalia,Mogadishu,Somalia national football team
126,National Heroes Stadium,60000,Africa,Zambia,Lusaka,Zambian national football team
127,Autzen Stadium,60000,North America,United States,"Eugene, Oregon",Unknown
128,Odi Stadium,60000,Africa,South Africa,"Mabopane, Gauteng",Unknown
129,Morodok Techo National Stadium,60000,Southeast Asia,Cambodia,Phnom Penh,Cambodia national football team
130,Shenyang Olympic Sports Centre Stadium,60000,East Asia,China,"Shenyang, Liaoning",Unknown
131,Optus Stadium,60000,Oceania,Australia,"Perth, Western Australia","Perth Glory FC, Fremantle Dockers, West Coast Eagles"
132,National Sports Stadium,60000,Africa,Zimbabwe,Harare,Zimbabwe national football team
133,Estadio Monumental Isidro Romero Carbo,59283,South America,Ecuador,Guayaquil,Barcelona Sporting Club
134,Groupama Stadium,59186,Europe,France,Décines-Charpieu,Olympique Lyonnais
135,Chongqing Olympic Sports Centre Stadium,58680,East Asia,China,Chongqing,Unknown
136,Kazimierz Górski National Stadium,58580,Europe,Poland,Warsaw,Poland national football team
137,Stadio San Nicola,58270,Europe,Italy,"Bari, Apulia",SSC Bari
138,Commanders Field,58000,North America,United States,"Landover, Maryland",Washington Commanders
139,Deutsche Bank Park,58000,Europe,Germany,Frankfurt,Eintracht Frankfurt
140,Estadio La Cartuja de Sevilla,57619,Europe,Spain,Seville,Unknown
141,Carter–Finley Stadium,57583,North America,United States,"Raleigh, North Carolina",NC State Wolfpack football
142,La Bombonera,57200,South America,Argentina,Buenos Aires,CA Boca Juniors
143,Volksparkstadion,57030,Europe,Germany,Hamburg,Hamburger SV
144,Estadio Mario Alberto Kempes,57000,South America,Argentina,Córdoba,"Talleres de Córdoba, some Belgrano de Córdoba matches."
145,Jinan Olympic Sports Centre Stadium,56808,East Asia,China,"Jinan, Shandong",Shandong Taishan
146,Estadio Jalisco,56713,North America,Mexico,"Guadalajara, Jalisco",Atlas
147,Commonwealth Stadium,56302,North America,Canada,"Edmonton, Alberta","Edmonton Elks, Canadian men's and women's national teams"
148,Dodger Stadium,56000,North America,United States,Los Angeles,Los Angeles Dodgers
149,19 May 1956 Stadium,56000,Africa,Algeria,Annaba,USM Annaba
150,Estadi Olímpic Lluís Companys,55926,Europe,Spain,"Barcelona, Catalonia",Unknown
151,El Cilindro,55880,South America,Argentina,Avellaneda,Racing
152,Arena do Grêmio,55662,South America,Brazil,"Porto Alegre, Rio Grande do Sul",Grêmio FBPA
153,Arena Națională,55634,Europe,Romania,Bucharest,Romania national football team
154,Stadion Rajko Mitić,55538,Europe,Serbia,Belgrade,"Red Star Belgrade, Serbia national football team"
155,Stadion Śląski,55211,Europe,Poland,Chorzów,"Poland national football team, Ruch Chorzów"
156,Etihad Stadium,55097,Europe,England,"Manchester, North West England",Manchester City
157,Moi International Sports Centre,55000,Africa,Kenya,Nairobi,Kenya national football team
158,Mestalla,55000,Europe,Spain,Valencia,Valencia CF
159,National Stadium,55000,Southeast Asia,Singapore,Singapore,Singapore national football team
160,National Stadium,55000,East Asia,Taiwan,Kaohsiung,Chinese Taipei national football team
161,He Long Stadium,55000,East Asia,China,"Changsha, Hunan",Unknown
162,Cape Town Stadium,55000,Africa,South Africa,"Cape Town, Western Cape","Cape Town City FC, DHL Western Cape Stormers"
163,Plovdiv Stadium,55000,Europe,Bulgaria,Plovdiv,Unknown
164,Bobby Dodd Stadium,55000,North America,United States,Atlanta,Georgia Tech Yellow Jackets football
165,Johan Cruijff Arena,54990,Europe,Netherlands,Amsterdam,AFC Ajax
166,Tianhe Stadium,54856,East Asia,China,"Guangzhou, Guangdong",Unknown
167,Stadio Diego Armando Maradona,54726,Europe,Italy,Naples,SSC Napoli
168,Tianjin Olympic Sports Centre Stadium,54696,East Asia,China,Tianjin,Tianjin Teda
169,MERKUR SPIEL-ARENA,54600,Europe,Germany,Düsseldorf,Fortuna Düsseldorf
170,Boris Paitchadze Dinamo Arena,54549,West Asia,Georgia,Tbilisi,"Georgia national football team, FC Dinamo Tbilisi"
171,Wuhan Sports Centre Stadium,54357,East Asia,China,"Wuhan, Hubei",Unknown
172,BC Place Stadium,54320,North America,Canada,"Vancouver, British Columbia","Vancouver Whitecaps FC, BC Lions"
173,Yankee Stadium,54251,North America,United States,New York City,"New York Yankees, New York City FC"
174,Hrazdan Stadium,54208,West Asia,Armenia,Yerevan,"FC Ararat Yerevan, Ulisses FC"
175,BORUSSIA-PARK,54057,Europe,Germany,Mönchengladbach,Borussia Mönchengladbach
176,Moses Mabhida Stadium,54000,Africa,South Africa,"Durban, KwaZulu-Natal","AmaZulu FC, Cell C Durban Sharks"
177,RAMS Park,53978,Europe,Turkey,Istanbul,Galatasaray
178,Busan Asiad Main Stadium,53864,East Asia,South Korea,Busan,Busan IPark
179,Estádio Estadual Jornalista Edgar Augusto Proença,53645,South America,Brazil,"Belém, Pará","Paysandu SC, Clube do Remo, Tuna Luso Brasileira, SC Belem"
180,Estadio Único Diego Armando Maradona,53600,South America,Argentina,La Plata,Unknown
181,Adelaide Oval,53500,Oceania,Australia,"Adelaide, South Australia","Adelaide Crows, Port Adelaide Power"
182,Docklands Stadium,53359,Oceania,Australia,"Melbourne, Victoria","Western Bulldogs, Essendon, St. Kilda, Carlton, North Melbourne"
183,Estádio Municipal João Havelange,53350,South America,Brazil,"Uberlândia, Minas Gerais",Uberlânia EC
184,San Mamés,53332,Europe,Spain,Bilbao,Athletic Bilbao
185,Aleppo International Stadium,53200,West Asia,Syria,Aleppo,Al-Ittihad
186,Estadio Nacional,53086,South America,Peru,Lima,Peru national football team
187,Huanglong Stadium,52672,East Asia,China,"Hangzhou, Zhejiang",Hangzhou FC
188,Suncorp Stadium,52500,Oceania,Australia,"Brisbane, Queensland","Brisbane Broncos, Queensland Maroons, Brisbane Roar FC, Queensland Reds"
189,St. James' Park,52405,Europe,England,"Newcastle upon Tyne, North East",Newcastle United
190,Kings Park Stadium,52000,Africa,South Africa,"Durban, KwaZulu-Natal","Lamontville Golden Arrows, Cell C Durban Sharks"
191,Newlands Stadium,51900,Africa,South Africa,"Cape Town, Western Cape",Unknown
192,Hampden Park,51866,Europe,Scotland,Glasgow,"Scotland national football team, Queen's Park"
193,Estadio Monumental de Maturín,51796,South America,Venezuela,Maturín,Monagas Sport Club
194,Loftus Versfeld Stadium,51762,Africa,South Africa,"Pretoria, Gauteng",SuperSport United and Vodacom Pretoria Bulls
195,Aviva Stadium,51700,Europe,Ireland,Dublin,"Leinster Rugby, Republic of Ireland national football team, Ireland national rugby union team"
196,Guiyang Olympic Sports Centre Stadium,51638,East Asia,China,"Guiyang, Guizhou",Unknown
197,Hohhot City Stadium,51632,East Asia,China,"Hohhot, Inner Mongolia",Unknown
198,Rajamangala National Stadium,51552,Southeast Asia,Thailand,Bangkok,Thailand national football team
199,Donbas Arena,51504,Europe,Ukraine,Donetsk,Unknown
200,İzmir Atatürk Stadyumu,51295,West Asia,Turkey,İzmir,"Altay SK, Göztepe AŞ"
201,Stadion Feijenoord,51117,Europe,Netherlands,Rotterdam,Feyenoord
202,Estadio BBVA,51000,North America,Mexico,Monterrey,CF Monterrey
203,Ghadir Stadium,51000,West Asia,Iran,Ahvaz,Foolad FC
204,Estádio José Pinheiro Borda,50942,South America,Brazil,Porto Alegre. Rio Grande do Sul,SC Internacional
205,Ibrox Stadium,50817,Europe,Scotland,Glasgow,Rangers FC
206,Shizuoka Stadium,50889,East Asia,Japan,"Fukuroi, Shizuoka","Júbilo Iwata, Shimizu S-Pulse, Shizuoka Blue Revs"
207,Ernst-Happel-Stadion,50865,Europe,Austria,Vienna,Austria national football team
208,Huntington Bank Stadium,50805,North America,United States,Minneapolis,Minnesota Golden Gophers football
209,Hocine Ait Ahmed Stadium,50766,Africa,Algeria,Tizi Ouzou,JS Kabylie
210,Estadio Cuauhtémoc,50754,North America,Mexico,Puebla,Puebla FC
211,Strawberry Arena,50653,Europe,Sweden,Solna,"Sweden men's national football team, AIK Fotboll"
212,Ülker Stadyumu,50509,West Asia,Turkey,Istanbul,Fenerbahçe
213,Stanford Stadium,50424,North America,United States,"Palo Alto, California",Unknown
214,Stade Pierre-Mauroy,50186,Europe,France,Villeneuve-d'Ascq,Lille OSC
215,Stade Roi Baudouin,50122,Europe,Belgium,Brussels,Belgium national football team
216,Shaanxi Province Stadium,50100,East Asia,China,"Xi'an, Shaanxi",Unknown
217,Ajinomoto Stadium,50100,East Asia,Japan,"Chofu, Tokyo","FC Tokyo, Tokyo Verdy, Tokyo Sungoliath, Toshiba Brave Lupus Tokyo"
218,Estádio José Alvalade,50095,Europe,Portugal,Lisbon,Sporting CP
219,Estádio do Dragão,50033,Europe,Portugal,Porto,FC Porto
220,Casa de Apostas Arena Fonte Nova,50025,South America,Brazil,"Salvador, Bahia",EC Bahia
221,Stade Tata Raphaël,50000,Africa,DR Congo,Kinshasa,"AS Vita Club, DC Motema Pembe"
222,Stade Olympique de Sousse,50000,Africa,Tunisia,Sousse,Étoile du Sahel
223,RheinEnergieSTADION,50000,Europe,Germany,Cologne,1. FC Köln
224,Harbin Sports City Centre Stadium,50000,East Asia,China,"Harbin, Heilongjiang",Unknown
225,Greenfield International Stadium,50000,South Asia,India,Trivandrum,Unknown
226,EMS Stadium,50000,South Asia,India,Kozhikode,"India national football team, Gokulam Kerala FC"
227,KD Singh Babu Stadium,50000,South Asia,India,Lucknow,Unknown
228,Eden Park,50000,Oceania,New Zealand,Auckland,"Auckland Blues, New Zealand Warriors"
229,Estádio 11 de Novembro,50000,Africa,Angola,Luanda,"Angola national football team, Primeiro de Agosto, Petro Luanda"
230,Henan Provincial Stadium,50000,East Asia,China,"Zhengzhou, Henan",Unknown
231,Jiangxi Olympic Sports Center,50000,East Asia,China,"Nanchang, Jiangxi",Unknown
232,Max-Morlock-Stadion,50000,Europe,Germany,Nuremberg,1. FC Nürnberg
233,June 11 Stadium,50000,Africa,Libya,Tripoli,"Libya, Al-Ahly SC, Al-Ittihad Tripoli, Al-Madina SC"
234,Xinjiang Sports Centre Stadium,50000,East Asia,China,"Urumqi, Xinjiang",Unknown
235,Kim Il-sung Stadium,50000,East Asia,North Korea,Pyongyang,Pyongyang City Sports Club
236,EDION Stadium Hiroshima,50000,East Asia,Japan,Hiroshima,Sanfrecce Hiroshima
237,Pars Shiraz Stadium,50000,West Asia,Iran,Shiraz,Fajr Sepasi Shiraz FC
238,Stade du 26 mars,50000,Africa,Mali,Bamako,Stade Malien
239,Stade Abdoulaye Wade,50000,Africa,Senegal,Dakar,Senegal national football team
240,Sultan Mizan Zainal Abidin Stadium,50000,Southeast Asia,Malaysia,Kuala Terengganu,Terengganu FA
241,Estadio Akron,49850,North America,Mexico,Guadalajara,C.D. Guadalajara
242,Levy Mwanawasa Stadium,49800,Africa,Zambia,Lusaka,Zesco United
243,Fritz-Walter-Stadion,49780,Europe,Germany,Kaiserslautern,1. FC Kaiserslautern
244,Estadio José Amalfitani,49540,South America,Argentina,Buenos Aires,CA Vélez Sársfield
245,Camille Chamoun Sports City Stadium,49500,West Asia,Lebanon,Beirut,"Lebanon national football team, Al Ahed FC, Al Ansar FC, Nejmeh SC"
246,Miyagi Stadium,49133,East Asia,Japan,"Rifu, Miyagi",Vegalta Sendai
247,Incheon Munhak Stadium,49084,East Asia,South Korea,Incheon,Unknown
248,Heinz-von-Heiden-Arena,49000,Europe,Germany,Hanover,Hannover 96
249,Parc des Princes,48712,Europe,France,Paris,Paris Saint-Germain
250,Stadium of Light,48707,Europe,England,"Sunderland, Tyne and Wear",Sunderland AFC
251,Estadio Nacional,48665,South America,Chile,Santiago,"Chile national football team, CF Universidad de Chile"
252,Nelson Mandela Bay Stadium,48459,Africa,South Africa,"Port Elizabeth, Eastern Cape",Chippa United FC
253,Estadio Tomás Adolfo Ducó,48314,South America,Argentina,Buenos Aires,CA Huracán
254,Jinnah Sports Stadium,48200,South Asia,Pakistan,Islamabad,Pakistan national football team
255,Estadio Libertadores de América,48069,South America,Argentina,Avellaneda,Club Atlético Independiente
256,Free State Stadium,48000,Africa,South Africa,"Bloemfontein, Free State","Bloemfontein Celtic, Toyota Cheetahs"
257,Nagai Stadium,47816,East Asia,Japan,Osaka,"Cerezo Osaka, NTT DoCoMo Red Hurricanes Osaka"
258,Neo Química Arena,47605,South America,Brazil,"São Paulo, São Paulo",Corinthians
259,Rogers Centre,47568,North America,Canada,"Toronto, Ontario","Toronto FC, Toronto Argonauts"
260,Estadio Monumental,47347,South America,Chile,Santiago,Colo-Colo
261,Stadio Artemio Franchi,47282,Europe,Italy,Florence,ACF Fiorentina
262,Estadio Ciudad de Lanús – Néstor Díaz Pérez,47027,South America,Argentina,Lanús,CA Lanús
263,Estadio Metropolitano Roberto Meléndez,46788,South America,Colombia,Barranquilla,"Colombia national football team, Atlético Junior"
264,Estádio Olímpico Nilton Santos,46831,South America,Brazil,"Rio de Janeiro, Rio de Janeiro",Botafogo FR
265,Itaipava Arena Pernambuco,46154,South America,Brazil,"São Lourenço da Mata, Pernambuco",Náutico
266,Arena MRV,46000,South America,Brazil,"Belo Horizonte, Minas Gerais",C Atlético Mineiro
267,Estádio Paulo Constantino,45954,South America,Brazil,"Presidente Prudente, São Paulo",Grêmio Prudente
268,Estadio Atanasio Girardot,45739,South America,Colombia,Medellín,"Atlético Nacional, Independiente Medellín"
269,Estadio Ramón Sánchez Pizjuán,45500,Europe,Spain,Seville,Sevilla FC
270,Adrar Stadium,45480,Africa,Morocco,Agadir,"Hassania Agadir, Morocco national team"
271,Lukoil Arena,45360,Europe,Russia,Moscow,Spartak Moscow
272,Grand stade de Marrakech,45240,Africa,Morocco,Marrakesh,"Kawkab Marrakech, Morocco national team"
273,Mandela National Stadium,45202,Africa,Uganda,Kampala,Uganda national football team
274,Tarczyński Arena Wrocław,45105,Europe,Poland,Wrocław,Śląsk Wrocław
275,Kazan Arena,45105,Europe,Russia,Kazan,Rubin Kazan
276,Estadio Inca Garcilaso de la Vega,45056,South America,Peru,Cusco,"CS Cienciano, Deportivo Garcilaso, Cusco FC"
277,24 February 1956 Stadium,45000,Africa,Algeria,Sidi Bel Abbès,USM Bel Abbès
278,Estádio da Machava,45000,Africa,Mozambique,Maputo,Mozambique national football team
279,Stadion Gelora Bung Tomo,45000,Southeast Asia,Indonesia,"Surabaya, East Java",Persebaya Surabaya
280,Stadion Harapan Banga,45000,Southeast Asia,Indonesia,"Banda Aceh, Aceh","Persiraja, Aceh United"
281,Estadio General Pablo Rojas,45000,South America,Paraguay,Asunción,Club Cerro Porteño
282,Latakia Sports City Stadium,45000,West Asia,Syria,Latakia,Unknown
283,Zibo Sports Centre Stadium,45000,East Asia,China,"Zibo, Shandong",Unknown
284,Weifang Sports Centre Stadium,45000,East Asia,China,"Weifang, Shandong",Unknown
